Size: 24
Tile Set: Classic
#
Marsh Tiles{
(0,18)
(3,10)
(4,6)
(5,18)
(7,4)
(7,23)
(9,19)
(10,5)
(10,9)
(13,7)
(13,18)
(18,2)
(18,17)
(18,20)
(19,9)
(20,8)
(20,23)
}
#
Mountain Tiles{
(0,0)
(0,5)
(0,6)
(0,17)
(0,23)
(3,7)
(3,13)
(3,14)
(3,18)
(3,19)
(4,0)
(4,10)
(4,13)
(4,16)
(4,18)
(5,5)
(5,6)
(5,7)
(5,8)
(5,17)
(6,6)
(6,17)
(6,18)
(6,22)
(6,23)
(7,5)
(7,6)
(8,18)
(8,19)
(9,3)
(9,18)
(10,3)
(10,4)
(10,8)
(10,13)
(13,8)
(13,9)
(13,14)
(13,19)
(13,22)
(14,9)
(14,10)
(14,14)
(14,17)
(15,16)
(15,17)
(16,3)
(16,4)
(16,7)
(16,15)
(16,16)
(17,4)
(17,15)
(17,20)
(18,0)
(18,3)
(18,5)
(18,6)
(18,7)
(18,16)
(19,0)
(19,3)
(19,13)
(19,17)
(20,13)
(22,9)
(22,10)
(23,0)
(23,13)
(23,14)
(23,23)
}





